Guid,AccountId,AssetId,Comments,ContactId,Description,EngineeringReqNumber__c,IsEscalated,Origin,PotentialLiability__c,Priority,Product__c,Reason,SLAViolation__c,Status,Subject,SuppliedCompany,SuppliedEmail,SuppliedName,SuppliedPhone,Type
00f0f094-4d7a-4e87-adba-ea45e199fdc6,1d80a738-8f35-4931-9ac0-436dec7c3b3d,"#N/A","#N/A",b624e0cd-3387-45f9-9522-421096f6cb94,"#N/A",265794,false,Phone,No,High,GC5060,Other,No,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
112c669e-c3ce-433f-9894-fdb0ef6cbf69,bc648327-b1f7-43f5-beb1-8fd45edcd627,"#N/A","#N/A",7bd7b718-ec24-48a4-84d4-05aac5006fb2,"#N/A",526714,false,Phone,No,Medium,GC1040,Equipment Complexity,No,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
256f5538-0341-428d-bb15-7834499bd3f0,1d80a738-8f35-4931-9ac0-436dec7c3b3d,"#N/A","#N/A",b624e0cd-3387-45f9-9522-421096f6cb94,"#N/A","#N/A",false,Web,No,Low,GC3060,Installation,No,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
269a8505-540d-42a8-a442-d2753c887377,bc648327-b1f7-43f5-beb1-8fd45edcd627,"#N/A","#N/A",7bd7b718-ec24-48a4-84d4-05aac5006fb2,"#N/A",736734,false,Web,No,Medium,GC1040,Equipment Complexity,No,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
33f52868-32cf-4f40-a91c-b0999c96584c,c66faa00-c2d8-4f41-ac11-476a3c64714f,"#N/A","#N/A",62875d26-0221-459b-8692-251da9c74416,"#N/A","#N/A",false,Web,No,Low,GC1020,Installation,No,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
3b8d0d07-c488-4592-aff4-2cfaad7671f1,1d80a738-8f35-4931-9ac0-436dec7c3b3d,"#N/A","#N/A",6f9e52db-c5f3-4877-84d8-01c27df55fe5,"#N/A",868314,false,Web,No,Low,GC3040,Equipment Design,No,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
3db98e75-0ab7-4e72-a3d6-5d0057439733,9fb6c9b1-77c0-4acc-a7fd-ba861f1fbeff,"#N/A","#N/A",582f54df-a42f-499d-885c-3fdbac8c3ac8,"#N/A",354982,false,Web,Yes,Medium,GC3060,Breakdown,No,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
4a5651de-840e-45c7-ab92-805343ce2c3c,bc648327-b1f7-43f5-beb1-8fd45edcd627,"#N/A","#N/A",f0cc5ac2-52ce-468b-a6b1-84dee7fd0587,"#N/A",765876,false,Phone,No,High,GC5040,Equipment Complexity,No,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
4a9c0080-bc15-4e05-9854-68cdbc09fd60,eda35d32-55e6-45d9-b4ed-fcb7b350acf0,"#N/A","#N/A",b71782ab-b2e3-4c98-9672-a5632e8945c7,"#N/A",636265,false,Web,Yes,High,GC5060,Equipment Design,No,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
4d44ab0b-72b4-4d30-8f0b-617c65504713,c66faa00-c2d8-4f41-ac11-476a3c64714f,"#N/A","#N/A",62875d26-0221-459b-8692-251da9c74416,"#N/A",784532,false,Phone,No,Medium,GC5020,Other,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
